Sigla;Código;Título;Sub-título;Autores;Data;Tipo;Distribuição;Situação;Nome do arquivo;Projeto;Objeto;Indicador;Arq
#N/D;DRV00070020;Visita técnica aos municípios de Colatina, São Domingos do Norte, Barra de São Francisco e Vitória, estado do Espírito Santo;RELATÓRIO TÉCNICO;FRANCISCO WILSON HOLLANDA VIDAL, PHILLIPE FERNANDES DE ALMEIDA, KAYRONE MARVILA DE ALMEIDA, ;10/03/2020;Relatório de Viagem;Pública;Concluído;DRV00070020_Relatório de Viagem BSF.pdf;PRJ02.24;09/00054;;SIM
#N/D;DRV00080020;RELATÓRIO DE VIAGEM Á NOVA VENÉCIA, SÃO ROQUE DO CANAÃ E SANTA TERESA - ES;;Kayrone Marvila de Almeida, MARIA ANGELICA KRAMER SANT ANA, MARIANE COSTALONGA DE AGUIAR, FABIO CONRADO DE QUEIROZ, ;25/11/2020;Relatório de Viagem;Pública;Concluído;DRV00080020Relatório VIAGEM NOVA VENÉCIA (1).pdf;PRJ02.24;09/00054;;SIM
RRB;RRB00350020;Preparação de materiais nanoestruturados a partir de palygorskita visando aplicações industriais e ambientais;Relatório Final de Bolsa PCI elaborado para o CNPq/CETEM;Mariana Santos Lemos, LUIZ CARLOS BERTOLINO, ;31/12/2020;Relatório Final de Bolsa PCI;Interna;Concluído;RRB-0035-00-20 - Mariana.pdf;PRJ18.34;12/00153;"PCTD; ";SIM
#N/D;RRB00010020;Reologia aplicada ao desaguamento de polpas minerais para a produção de rejeitos espessados e pastosos;;Bruna Câmara Trampus, Silvia Cristina Alves França, ;06/01/2020;Relatório Final de Bolsa PCI;Pública;Concluído;RRB00010020 - Silvia França.pdf;PRJ05.19;19/00125;"PCTD; ";SIM
#N/D;RRB00020020;Avaliação do ciclo de vida de rochas ornamentais;RELATÓRIO DE ATIVIDADES DO PROGRAMA DE BOLSA PCI - CETEM (Processo CNPq: 302191/2020-8);Thiago Santiago Gomes, NURIA FERNANDEZ CASTRO, ;05/06/2020;Relatório Final de Bolsa PCI;Reservada;Concluído;RelatorioPCI_ThiagoGomes2020.pdf;PRJ02.24;09/00054;"PCTD; ";SIM
#N/D;RRB00030020;Produção de exopolissacarídeos (EPS) por Paenibacillus sp. visando aplicação biotecnológica;;DIOGO SIMAS BERNARDES DIAS, ;15/12/2020;Relatório Final de Bolsa PCI;Pública;Concluído;RRB 0003-00-20 Diogo Simas Bernardes Dias.pdf;PRJ05.13;10/00063;"PCTD; ";SIM
#N/D;RRB00040020;Biossolubilização de rochas e resíduos de rochas: fontes alternativas de fertilizantes para a agricultura;;MARIANA RUIZ FRAZÃO SANTIAGO, ;15/12/2020;Relatório Final de Bolsa PCI;Pública;Concluído;RRB 0004-00-20 Mariana Ruiz Frazão Santiago.pdf;PRJ05.13;10/00063;"PCTD; ";SIM
#N/D;RRB00050020;Estudos de tecnologias hidrometalúrgicas para minérios de terras-raras: remoção de carbonatos por lixiviação ácida seletiva;;JOÃO VICTOR DE MORAES SILVA, ;15/12/2020;Relatório Final de Bolsa PCI;Pública;Concluído;RRB 0005-00-20 João Victor de Moraes Silva.pdf;PRJ05.13;10/00063;"PCTD; ";SIM
#N/D;RRB00060020;Processos hidrometalúrgicos para extração e separação de metais críticos;;FABIO DOS SANTOS GONÇALVES, ;15/12/2020;Relatório Final de Bolsa PCI;Pública;Concluído;RRB 0006-00-20 Fábio dos Santos Gonçalves.pdf;PRJ05.13;10/00063;"PCTD; ";SIM
#N/D;RRB00070020;Ensaios de extração de Ni e Co a partir de minérios lateríticos;;NICE DE VASCONCELOS COIMBRA, ;15/12/2020;Relatório Final de Bolsa PCI;Pública;Concluído;RRB 0007-00-20 Nice de Vasconcelos Coimbra.docx.pdf;PRJ05.13;10/00063;"PCTD; ";SIM
#N/D;RRB00080020;Desenvolvimento de inovação em processos de hidrometalurgia: processamento alcalino de concentrado de pirocloro para extração  de nióbio;;RENATA FERREIRA DA SILVA MOREIRA, ;15/12/2020;Relatório Final de Bolsa PCI;Pública;Concluído;RRB 0008-00-20 Renata Ferreira da Silva Moreira.pdf;PRJ05.13;10/00063;"PCTD; ";SIM
#N/D;RRB00090020;Desenvolvimento de tecnologias de separação para a produção dos óxidos de terras-raras empregrados na produção de ímãs permanente;;RENATA MARIA DE FREITAS, ;15/12/2020;Relatório Final de Bolsa PCI;Pública;Concluído;RRB 0009-00-20 Renata Maria de Freitas.pdf;PRJ05.13;10/00063;"PCTD; ";SIM
#N/D;RRB00100020;Extração por solvente de elementos terras-raras presentes em pó de lâmpada fluorescentes;;ANA CAROLINA SALES PEREIRA DE SOUSA, ;15/12/2020;Relatório Final de Bolsa PCI;Pública;Concluído;RRB 0010-00-20 Ana Carolina Sales Pereira de Sousa.pdf;PRJ05.13;10/00063;"PCTD; ";SIM
#N/D;RRB00110020;Desenvolvimento de um processo de extração de níquel e cobalto em biorreator;;ANA CAROLINA DE OLIVEIRA SANTANA, ;15/12/2020;Relatório Final de Bolsa PCI;Pública;Concluído;RRB 0011-00-20 Ana Carolina de Oliveira Santana.pdf;PRJ05.13;10/00063;"PCTD; ";SIM
#N/D;RRB00120020;Estudos de tecnologias hidrometalúrgicas para minérios de terras-raras: lixiviação acética de carbonatos presentes em minérios carbonatíticos;;WILLEN RODRIGUES BRAZ DA SILVA, ;15/12/2020;Relatório Final de Bolsa PCI;Pública;Concluído;RRB 0012-00-20 Willen Rodrigues Braz da Silva.pdf;PRJ05.13;10/00063;"PCTD; ";SIM
#N/D;RRB00130020;Biorremediação de solos contaminados utilizando biorreator de fase semissólida para uso em escala ampliada;;DANIELE LEONEL DA ROCHA, ;15/12/2020;Relatório Final de Bolsa PCI;Pública;Concluído;RRB 0013-00-20 Daniele Leonel da Rocha.pdf;PRJ05.13;10/00063;"PCTD; ";SIM
#N/D;RRB00140020;Efeito do processamento por plasma na redução de umidade de minério de ferro e carvão mineral;;Felipe Sampaio Alencastro, Marisa Bezerra de Mello Monte, ;18/12/2020;Relatório Final de Bolsa PCI;Pública;Concluído;RRB00140020 - MARISA MONTE.pdf;PRJ05.19;09/00088;"PCTD; ";SIM
#N/D;RRB00150020;Avaliação da toxicidade de elementos terras raras para diferentes bioindicadores;;TAMINE MARTINS ROLDÃO, ;21/12/2020;Relatório Final de Bolsa PCI;Pública;Concluído;RRB 0015-00-20 Tamine Martins Roldão.pdf;PRJ05.13;10/00063;"PCTD; ";SIM
#N/D;RRB00160020;Normatização de ensaios de caracterização tecnológica para rochas aglomeradas;RELATÓRIO FINAL DE ATIVIDADES PROGRAMA DE BOLSA PCI – CETEM;ABILIANE DE ANDRADE PAZETO, LEONARDO LUIZ LYRIO DA SILVEIRA, ;21/12/2020;Relatório Final de Bolsa PCI;Reservada;Concluído;RelatórioRRB00160020_300666-9_301583-0.pdf;PRJ02.24;09/00054;"PCTD; ";SIM
#N/D;RRB00170020;Ensaios de polimento para rochas ornamentais;RELATÓRIO DE ATIVIDADES PROGRAMA DE BOLSA PCI – CETEM;LEONARDO LUIZ LYRIO DA SILVEIRA, VICTOR MOZA PONCIANO, ;21/12/2020;Relatório Final de Bolsa PCI;Reservada;Concluído;RRB0017-00-20Relatório_final_Victor Ponciano 2020.pdf;PRJ05.15;11/00216;"PCTD; ";SIM
#N/D;RRB00180020;Uso de resíduos de rochas ornamentais como ecofiller de concreto autodensável e celular;RELATÓRIO DE ATIVIDADES DO PROGRAMA DE BOLSA PCI - CETEM;FABIO CONRADO DE QUEIROZ, NURIA FERNANDEZ CASTRO, ;22/12/2020;Relatório Final de Bolsa PCI;Reservada;Concluído;RRB00180020Relatorio_final_de_bolsa_dez2020.pdf;PRJ02.24;09/00054;"PCTD; ";SIM
#N/D;RRB00190020;Contribuição para o desenvolvimento integrado das pesquisas relacionadas à cadeia produtiva de rochas ornamentais realizadas no NRES;RELATÓRIO FINAL DE ATIVIDADES PROGRAMA DE BOLSA PCI – CETEM;FRANCISCO WILSON HOLLANDA VIDAL, PHILLIPE FERNANDES DE ALMEIDA, ;22/12/2020;Relatório Final de Bolsa PCI;Reservada;Concluído;RRB00190020Relatório_Final2020_Phillipe.pdf;PRJ02.24;09/00054;"PCTD; ";SIM
#N/D;RRB00200020;Estudo da correlação entre as características petrográficas e tecnológicas de rochas ornamentais: geração de material orientativo para arquitetos e projetistas;RELATÓRIO FINAL DE ATIVIDADES PROGRAMA DE BOLSA PCI – CETEM;BRUNA XAVIER FAITANIN, FRANCISCO WILSON HOLLANDA VIDAL, ;22/12/2020;Relatório Final de Bolsa PCI;Reservada;Concluído;RRB00200020Relatório final PCI_2020_BrunaXavierFaitanin.pdf;PRJ02.24;09/00054;"PCTD; ";SIM
#N/D;RRB00210020;Estudo de tecnologias inovadoras e sustentáveis para o processamento de minérios com complexos;;Danielle Andrade Pimentel, Marisa Bezerra de Mello Monte, ;22/12/2020;Relatório Final de Bolsa PCI;Pública;Concluído;RRB00210020 - MARISA MONTE.pdf;PRJ05.19;09/00088;"PCTD; ";SIM
#N/D;RRB00220020;Desenvolvimento de rochas aglomeradas artificiais e cerâmicas com resíduos de rochas ornamentais;RELATÓRIO FINAL DE ATIVIDADES PROGRAMA DE BOLSA PCI – CETEM;MARIANE COSTALONGA DE AGUIAR, MONICA CASTOLDI BORLINI GADIOLI, ;23/12/2020;Relatório Final de Bolsa PCI;Reservada;Concluído;RRB00220020Relatório final PCI MARIANE COSTALONGA DE AGUIAR.pdf;PRJ05.15;13/00154;"PCTD; ";SIM
#N/D;RRB00230020;Modelagem molecular como ferramenta na elucidação de fenômenos de superfície na flotação de quartzo;;Lucas Andrade Silva, Julio Cesar Guedes Correia, ;23/12/2020;Relatório Final de Bolsa PCI;Pública;Concluído;RRB00230020 - JULIO GUEDES.pdf;PRJ05.19;09/00088;"PCTD; ";SIM
#N/D;RRB00240020;Tecnologias para Extração de Lítio de Minerais;;;23/12/2020;Relatório Final de Bolsa PCI;Pública;Concluído;;PRJ05.19;09/00088;"PCTD; ";NÃO
#N/D;RRB00250020;Estudo de Distribuição de Tamanho de Bolhas em Células de Flotação;;;23/12/2020;Relatório Final de Bolsa PCI;Pública;Concluído;;PRJ05.19;09/00088;"PCTD; ";NÃO
#N/D;RRB00260020;Avaliação da biodisponibilidade de samário e lantânio para dois organismos terrestres expostos a solo natural contaminado com soluções sintéticas;;GISELE PETRONILHO HEIDELMANN, ;23/12/2020;Relatório Final de Bolsa PCI;Pública;Concluído;RRB 0026-00-20 Gisele Petronilho Heidelmann.pdf;PRJ05.13;10/00063;"PCTD; ";SIM
#N/D;RRB00270020;Cobalto como subproduto de minérios de níquel lateríticos: mineralogia detalhada e caracterização tecnológica.;Relatório final de bolsa PCI elaborado para o CNPq/CETEM;Vivian Fernandes Moutinho, REINER NEUMANN, ;31/12/2020;Relatório Final de Bolsa PCI;Interna;Concluído;RRB-0027-00-20 - Vivian Moutinho.pdf;PRJ18.34;12/00153;"PCTD; ";SIM
#N/D;RRB00280020;Desenvolvimento de um plugin de delineacao  em ambiente ImageJ/Fiji para imagens adquiridas por MEV;Relatório final de bolsa PCI elaborado para o CNPq/CETEM;Nancy Baygorrea Cusihuallpa, OTAVIO DA FONSECA MARTINS GOMES, ;31/12/2020;Relatório Final de Bolsa PCI;Interna;Concluído;RRB-0028-00-20 - Nancy.pdf;PRJ18.34;12/00153;"PCTD; ";SIM
#N/D;RRB00290020;Planejamento da caracterização de materiais de referência de agrominerais: rochas basálticas e diabásicas;Relatório final de bolsa PCI elaborada para o CNPq/CETEM;CARLA DE MATOS RIBEIRO, ;31/12/2020;Relatório Final de Bolsa PCI;Interna;Em preparação;;PRJ18.34;12/00153;"PCTD; ";NÃO
#N/D;RRB00300020;Avaliação da digestão ácida de minério de ferro em forno de micro-ondas para a especiação de ferro: trabalhos executados em 2020;Relatório final de bolsa PCI elaborado para o CNPq/CETEM.;LUCILENE SANTANA DE OLIVEIRA, MARIA INÊS COUTO MONTEIRO, ANDREY LINHARES BEZERRA DE OLIVEIRA, ;31/12/2020;Relatório Final de Bolsa PCI;Pública;Em preparação;RRB-0030-00-20 - Lucilene.pdf;PRJ18.34;12/00153;"PCTD; ";SIM
#N/D;RRB00310020;Determinação de cloreto em amostras de água por turbidimetria e potenciometria com eletrodo íon seletivo: curvas analíticas.;Relatório final de bolsa PCI elaborado para o CNPq/CETEM;FABIO SILVA DA COSTA, JOSE ANTONIO PIRES DE MELLO, KATIA DE CASSIA BARBOSA ALEXANDRE, ;31/12/2020;Relatório Final de Bolsa PCI;Interna;Concluído;RRB-0031-00-20 - Fabio.pdf;PRJ18.34;12/00153;"PCTD; ";SIM
#N/D;RRB00320020;Substituição do tetraborato de lítio utilizado na etapa de fusão de amostras geológicas pelo ácido bórico;Relatório final de bolsa PCI elaborado para o CNPq/CETEM;SONIA DA SILVA, MANUEL CASTRO CARNEIRO, ANDREY LINHARES BEZERRA DE OLIVEIRA, ;31/12/2020;Relatório Final de Bolsa PCI;Interna;Concluído;RRB-0032-00-20 - Sonia.pdf;PRJ18.34;12/00153;"PCTD; ";SIM
#N/D;RRB00330020;Caracterização química de rochas para serem utilizadas como rochagem ou mineralização do solo;Relatório Final de Bolsa PCI, elaborado para o CNPq/CETEM;INES GOMES FRAGA, JOSE ANTONIO PIRES DE MELLO, ;31/12/2020;Relatório Final de Bolsa PCI;Interna;Concluído;RRB-0033-00-20 - Inês.pdf;PRJ18.34;12/00153;"PCTD; ";SIM
#N/D;RRB00340020;Caracterização química de amostras geológicas por fluorescência de raios-X (FRX);Relatório final de Bolsa PCI elaborado para o CNPq/CETEM.;ANDRE LUIZ OLIVEIRA DE CASTRO, ARNALDO ALCOVER NETO, ;31/12/2020;Relatório Final de Bolsa PCI;Interna;Concluído;RRB-0034-00-20 - André.pdf;PRJ18.34;12/00153;"PCTD; ";SIM
#N/D;RRG00010020;Nível de maturidade de maturidade tecnológica: projetos 2017-2018-2019;;ALEXANDRE CAMPOS DA CUNHA, ANDREA CAMARDELLA DE LIMA RIZZO, BRUNO MONTANDON NORONHA BARROS, MIRIAM ELIZABETH HENDRISCHKY DOS SANTOS, MONICA MONNERAT TARDIN BASTOS, ADELSON ANTONIO DE CASTRO, ;20/10/2020;Relatório de Gestão;Pública;Concluído;RRG 0001-00-20 .pdf;PRJ01.13;07/00175;;SIM
#N/D;RRG00020020;Relatório de gestão sobre projetos ativos e investimentos em pesquisa ano 2019;;ALEXANDRE CAMPOS DA CUNHA, ANDREA CAMARDELLA DE LIMA RIZZO, MIRIAM ELIZABETH HENDRISCHKY DOS SANTOS, ;20/10/2020;Relatório de Gestão;Pública;Concluído;RRG 0002-00-20.pdf;PRJ01.13;07/00175;;SIM
#N/D;RRG00030020;Relatório de gestão dos projetos ativos ano 2019;;ANDREA CAMARDELLA DE LIMA RIZZO, MIRIAM ELIZABETH HENDRISCHKY DOS SANTOS, ;20/10/2020;Relatório de Gestão;Pública;Concluído;RRG 0003-00-20 .pdf;PRJ01.13;07/00175;;SIM
#N/D;RRG00040020;Projeto de reestruturação do Núcleo de Inovação Tecnológica – NIT;;ANDREA CAMARDELLA DE LIMA RIZZO, BRUNO MONTANDON NORONHA BARROS, MONICA MONNERAT TARDIN BASTOS, ADELSON ANTONIO DE CASTRO, ;21/10/2020;Relatório de Gestão;Pública;Concluído;RRG 0004-00-20 .pdf;PRJ01.13;07/00175;;SIM
#N/D;RRG00050020;Projeto de metodologia de avaliação dos impactos gerados pelo CETEM – NIT;;ANDREA CAMARDELLA DE LIMA RIZZO, BRUNO MONTANDON NORONHA BARROS, MONICA MONNERAT TARDIN BASTOS, ADELSON ANTONIO DE CASTRO, ;21/10/2020;Relatório de Gestão;Pública;Concluído;RRG 0005-00-20 .pdf;PRJ01.13;07/00175;;SIM
#N/D;RRG00060020;Dasboard Empresas CETEM;;ALEXANDRE CAMPOS DA CUNHA, ;04/11/2020;Relatório de Gestão;Pública;Concluído;RRG 0006-00-20 .pdf;PRJ01.13;07/00175;;SIM
#N/D;RRG00070020;Diagnóstico de impacto – paralisação das atividades presenciais no CETEM (COVID19);;ANDREA CAMARDELLA DE LIMA RIZZO, MIRIAM ELIZABETH HENDRISCHKY DOS SANTOS, ;16/11/2020;Relatório de Gestão;Reservada;Concluído;RRG 0007-00-20 .pdf;PRJ01.13;07/00175;;SIM
#N/D;RRG00080020;Iniciativas e investimentos em ações finalísticas: comparativo entre semestres -  ANO REFERÊNCIA 20;;ANDREA CAMARDELLA DE LIMA RIZZO, MIRIAM ELIZABETH HENDRISCHKY DOS SANTOS, ;22/12/2020;Relatório de Gestão;Pública;Concluído;RRG 0008-00-20 .pdf;PRJ01.13;07/00175;;SIM
#N/D;RRM00010020;Caracterização tecnológica de rocha sem denominação comercial para  Carlos Henrique Poggian Mendonça;;LEONARDO LUIZ LYRIO DA SILVEIRA, MILLENA BASÍLIO DA SILVA, EUNICE DE FREITAS LIMA, ;07/01/2020;Relatório Técnico Final de Projeto para Pequenas, Médias Empresas;Reservada;Concluído;RRM00010020_Carlos Henrique.pdf;PRJ02.19;10/00047;"PCTD; APME; ";SIM
#N/D;RRM00020020;Determinação da resistência ao manchamento de rocha comercialmente designada Acará a empresa TDS Company & Indústria Química EIRELI I;FOMENTO;LEONARDO LUIZ LYRIO DA SILVEIRA, JULIETE DE PAULO CATEIN, ;09/01/2020;Relatório Técnico Final de Projeto para Pequenas, Médias Empresas;Reservada;Concluído;RRM00020020_Innovare_Manchamento_Acará_digitalizado.pdf;PRJ02.19;10/00047;"PCTD; APME; ";SIM
#N/D;RRM00030020;Análise petrográfica de rocha sem denominação comercial para a empresa Solares  Mineração Ltda.;;LEONARDO LUIZ LYRIO DA SILVEIRA, BRUNA XAVIER FAITANIN, ;14/01/2020;Relatório Técnico Final de Projeto para Pequenas, Médias Empresas;Reservada;Concluído;RRM00030020_Solares Mineração.pdf;PRJ02.19;10/00047;"PCTD; APME; ";SIM
#N/D;RRM00040120;Caracterização tecnológica de rocha sem denominação comercial para a empresa Pettrus Mineração e Comércio Ltda.TDA;;LEONARDO LUIZ LYRIO DA SILVEIRA, BRUNA XAVIER FAITANIN, MILLENA BASÍLIO DA SILVA, ELTON SOUZA DOS SANTOS, EUNICE DE FREITAS LIMA, ;20/01/2020;Relatório Técnico Final de Projeto para Pequenas, Médias Empresas;Reservada;Concluído;RRM00040120_Pettrus Mineração.pdf;PRJ02.19;10/00047;"PCTD; APME; ";SIM
#N/D;RRM00050020;Caracterização tecnológica de rocha comercialmenjte designada Andorinha para a empresa  Ercal – Empresas Reunidas de Calcário Ltda.;;LEONARDO LUIZ LYRIO DA SILVEIRA, BRUNA XAVIER FAITANIN, MILLENA BASÍLIO DA SILVA, EUNICE DE FREITAS LIMA, ;30/01/2020;Relatório Técnico Final de Projeto para Pequenas, Médias Empresas;Reservada;Concluído;RRM00050020_Ercal.pdf;PRJ02.19;10/00047;"PCTD; APME; ";SIM
#N/D;RRM00060020;Análise petrográfica de rocha comercialmente designada Vancouver para Julieta Rachelle Silva Calegari;PROJETO FOMENTO;LEONARDO LUIZ LYRIO DA SILVEIRA, BRUNA XAVIER FAITANIN, ;30/01/2020;Relatório Técnico Final de Projeto para Pequenas, Médias Empresas;Reservada;Concluído;RRM00060020_Julieta.pdf;PRJ02.19;10/00047;"PCTD; APME; ";SIM
#N/D;RRM00070020;Caracterização tecnológica em agregados rochosos para Vinicius Alves Polinicola;;LEONARDO LUIZ LYRIO DA SILVEIRA, LEONARDO CATTABRIGA FREIRE, ;30/01/2020;Relatório Técnico Final de Projeto para Pequenas, Médias Empresas;Reservada;Concluído;RRM00070020_Vinicius_treton.pdf;PRJ02.19;10/00047;"PCTD; APME; ";SIM
#N/D;RRM00080020;Caracterização tecnológica e identificação de morfologias de alteração nas rochas da fachada principal e torres da Igreja de Nossa Senhora da Candelária, Rio de Janeiro, RJ;;AMANDA GUIMARAES DOS SANTOS MOZER, Kátia Leite Mansur, ROBERTO CARLOS DA CONCEIÇÃO RIBEIRO, ;03/02/2020;Relatório Técnico Final de Projeto para Pequenas, Médias Empresas;Pública;Publicado;RRM-0008-00-20.pdf;PRJ05.06;07/00205;"PCTD; APME; ";SIM
#N/D;RRM00090020;Avaliação tecnológica de fármacos e inseticida;;ROBERTO CARLOS DA CONCEIÇÃO RIBEIRO, ROSANA ELISA COPPEDE DA SILVA, MICHELLE TEIXEIRA COSTA CASSIANO DOS SANTOS, Caroline Martins de Souza, ;12/02/2020;Relatório Técnico Final de Projeto para Pequenas, Médias Empresas;Reservada;Concluído;RRM REMÉDIOS.pdf;PRJ01.23;07/00233;"PCTD; APME; ";SIM
#N/D;RRM00100020;Avaliação Tecnológica de Amostras Conservas de Cerejas;;ROBERTO CARLOS DA CONCEIÇÃO RIBEIRO, Rosana Elisa Coppedê Silva, Caroline Martins de Souza, Michelle Teixeira dos Santos, ;13/02/2020;Relatório Técnico Final de Projeto para Pequenas, Médias Empresas;Reservada;Concluído;;PRJ01.23;07/00233;"PCTD; APME; ";NÃO
#N/D;RRM00110020;Caracterização tecnológica de rocha sem denominação comercial para a empresa Viquieti Alcantara Mineração Ltda.;;LEONARDO LUIZ LYRIO DA SILVEIRA, BRUNA XAVIER FAITANIN, MILLENA BASÍLIO DA SILVA, EUNICE DE FREITAS LIMA, ;19/02/2020;Relatório Técnico Final de Projeto para Pequenas, Médias Empresas;Reservada;Concluído;RRM00110020_Viquieti Mineração.pdf;PRJ02.19;10/00047;"PCTD; APME; ";SIM
#N/D;RRM00120020;Produção de tijolos ecológicos a base de vermiculita e resina de poliuretano vegetal;;LUCAS GOMES RABELLO, Alessandra Vieira Guimarães, ROBERTO CARLOS DA CONCEIÇÃO RIBEIRO, ;03/03/2020;Relatório Técnico Final de Projeto para Pequenas, Médias Empresas;Pública;Concluído;RRM-0012-00-20.pdf;PRJ05.06;07/00205;"PCTD; APME; ";SIM
#N/D;RRM00130020;Caracterização tecnológica de rocha comercialmente designada Perla Santana para a empresa Granitos S/A.;;LEONARDO LUIZ LYRIO DA SILVEIRA, MILLENA BASÍLIO DA SILVA, EUNICE DE FREITAS LIMA, ;10/03/2020;Relatório Técnico Final de Projeto para Pequenas, Médias Empresas;Reservada;Concluído;RRM00130020_Granitos SA.pdf;PRJ02.19;10/00047;"PCTD; APME; ";SIM
#N/D;RRM00140020;Beneficiamento e caracterização mineralógica do minério ROM contendo vermiculita;Relatório Final para a UBM – União Brasileira de Mineração S.A., referente a DPT-0311-00-19.;LUIZ CARLOS BERTOLINO, ;10/03/2020;Relatório Técnico Final de Projeto para Pequenas, Médias Empresas;Reservada;Concluído;RRM-0014-00-20 - Bertolino - UBM.pdf;PRJ02.21;09/00080;"PCTD; APME; ";SIM
#N/D;RRM00150020;Caracterização química de resíduos do circuito de classificação e moagem da indústria de superfícies de quartzo para a empresa Guidoni Ornamental Rocks Ltda.;;FRANCISCO WILSON HOLLANDA VIDAL, MONICA CASTOLDI BORLINI GADIOLI, ELTON SOUZA DOS SANTOS, ;17/03/2020;Relatório Técnico Final de Projeto para Pequenas, Médias Empresas;Reservada;Concluído;RRM00150020_Guidoni.pdf;PRJ02.19;10/00047;"PCTD; APME; ";SIM
#N/D;RRM00160020;Quantificação de resina (NCM 3907.30.22) e endurente (NCM 3824.99.39) para a produção de chapas de granito (NCM 6802.93.90), mármore (NCM 6802.91.00) e quartzito (NCM 6802.99.90) para exportação, na empresa Decolores Mármores e Granitos do Brasil Ltda.;;LEONARDO LUIZ LYRIO DA SILVEIRA, LEONARDO CATTABRIGA FREIRE, ;30/03/2020;Relatório Técnico Final de Projeto para Pequenas, Médias Empresas;Reservada;Concluído;RRM00160020 LAUDO RESINA_ENDURENTE_DECOLORES_V1.pdf;PRJ02.19;10/00048;"PCTD; APME; ";SIM
#N/D;RRM00170020;Análise de corretivo de acidez em amostra de calcário para a empresa Mineração Nemer Ltda.;;MONICA CASTOLDI BORLINI GADIOLI, ELTON SOUZA DOS SANTOS, ;15/04/2020;Relatório Técnico Final de Projeto para Pequenas, Médias Empresas;Reservada;Concluído;RRM 00170020_Mineração Nemer.pdf;PRJ02.19;10/00047;"PCTD; APME; ";SIM
#N/D;RRM00180020;Análise petrográfica e medição de brilho de rocha sem denominação para a empresa Hércules Mineração da Bahia Ltda.;;LEONARDO LUIZ LYRIO DA SILVEIRA, BRUNA XAVIER FAITANIN, JEFFERSON LUIZ CAMARGO, EUNICE DE FREITAS LIMA, ;25/08/2020;Relatório Técnico Final de Projeto para Pequenas, Médias Empresas;Reservada;Concluído;RRM00180020_Hércules Mineração.pdf;PRJ02.19;10/00047;"PCTD; APME; ";SIM
#N/D;RRM00190020;Análise petrográfica de agregado rochoso sem denominação comercial para a empresa Granorte S/A;;LEONARDO LUIZ LYRIO DA SILVEIRA, BRUNA XAVIER FAITANIN, ;29/09/2020;Relatório Técnico Final de Projeto para Pequenas, Médias Empresas;Reservada;Concluído;RRM_00190020Granorte_Lâmina 0877.pdf;PRJ02.24;09/00054;"PCTD; APME; ";SIM
#N/D;RRM00200020;RELATÓRIO TÉCNICO DE CARACTERIZAÇÃO DE RESÍDUOS;;;05/10/2020;Relatório Técnico Final de Projeto para Pequenas, Médias Empresas;Reservada;Em preparação;;PRJ02.24;09/00054;"PCTD; APME; ";NÃO
#N/D;RRM00210020;Relatório técnico de caracterização de argilas: Cerâmica Santa Maria;;FRANCISCO WILSON HOLLANDA VIDAL, MARIANE COSTALONGA DE AGUIAR, MONICA CASTOLDI BORLINI GADIOLI, Kayrone Marvila de Almeida, ;05/10/2020;Relatório Técnico Final de Projeto para Pequenas, Médias Empresas;Reservada;Concluído;Relatório Caracterização - Cerâmica Santa Maria.pdf;PRJ02.24;09/00054;"PCTD; APME; ";SIM
#N/D;RRM00220020;Gravimetria de rocha sem denominação comercial para a empresa Hércules Mineração da Bahia Ltda.;;EUNICE DE FREITAS LIMA, LEONARDO LUIZ LYRIO DA SILVEIRA, ;08/10/2020;Relatório Técnico Final de Projeto para Pequenas, Médias Empresas;Reservada;Concluído;RRM00220020_Hércules Mineração_Gavimetria.pdf;PRJ02.19;10/00047;"PCTD; APME; ";SIM
#N/D;RRM00230020;Análise petrográfica em agregados rochosos para Vinícius Alves Polinicola;;LEONARDO LUIZ LYRIO DA SILVEIRA, BRUNA XAVIER FAITANIN, ;19/10/2020;Relatório Técnico Final de Projeto para Pequenas, Médias Empresas;Reservada;Concluído;RRM00230020_Vinicius_Lâmina 0883.pdf;PRJ02.19;10/00047;"PCTD; APME; ";SIM
#N/D;RRM00240020;Análise petrográfica em agregados rochosos para Vinícius Alves Polinicola;;LEONARDO LUIZ LYRIO DA SILVEIRA, BRUNA XAVIER FAITANIN, ;19/10/2020;Relatório Técnico Final de Projeto para Pequenas, Médias Empresas;Reservada;Concluído;RRM00240020_Vinicius_Lâmina 0884.pdf;PRJ02.19;10/00047;"PCTD; APME; ";SIM
#N/D;RRM00250020;Análise petrográfica em agregados rochosos para Vinícius Alves Polinicola;;LEONARDO LUIZ LYRIO DA SILVEIRA, BRUNA XAVIER FAITANIN, ;19/10/2020;Relatório Técnico Final de Projeto para Pequenas, Médias Empresas;Reservada;Concluído;RRM00250020_Vinicius_Lâmina 0885.pdf;PRJ02.19;10/00047;"PCTD; APME; ";SIM
#N/D;RRM00260020;Análises petrográfica, mineralógica e química de rocha comercialmente designada Ardósia Preta para a empresa Altivo Pedras Eireli;;LEONARDO LUIZ LYRIO DA SILVEIRA, BRUNA XAVIER FAITANIN, LUIZ CARLOS BERTOLINO, ;20/10/2020;Relatório Técnico Final de Projeto para Pequenas, Médias Empresas;Reservada;Concluído;RRM00260020_Altivo Perdas.pdf;PRJ02.19;10/00047;"PCTD; APME; ";SIM
